source,interaction,target,zero_order_r,r_sign
T005391,---,T126388,0.831005760842777,+
T017334,---,T017335,0.893899138354596,+
T036271,---,T159182,0.634738882110231,+
T052342,---,T145726,0.481149674357619,+
T054922,---,T159182,0.63700331073434,+
T054922,---,T168319,0.520472294526172,+
T069033,---,T069034,0.529748266779078,+
T148258,---,T148259,0.921695130122296,+
T150539,---,T178112,0.27405578037982,+
T173649,---,T173651,0.608340009576834,+
T000394,-->,T198533,0.694040510188314,+
T000978,-->,T000094,0.240256153802906,+
T001374,-->,T145188,0.366884901766933,+
T001800,-->,T032903,0.357356362382186,+
T001800,-->,T117589,0.249830867140638,+
T001813,-->,T074548,-0.271820706834573,-
T001813,-->,T178599,0.153902856039844,+
T001813,-->,T182667,0.449190806386131,+
T001938,-->,T077777,-0.34799946423839,-
T002502,-->,T002501,0.767593580239762,+
T002502,-->,T024245,0.312456520622297,+
T002502,-->,T059040,0.344814270295697,+
T002502,-->,T134710,0.256704547071131,+
T002526,-->,T020139,0.805559215455038,+
T002526,-->,T121351,0.740092171668438,+
T002544,-->,T074914,0.264965593551701,+
T002571,-->,T022375,0.358250726291824,+
T003652,-->,T183713,0.621149271158714,+
T004396,-->,T160102,0.400155062586153,+
T005308,-->,T092609,0.680605750314021,+
T005308,-->,T133710,0.453159244368609,+
T005308,-->,T154945,0.716172252647876,+
T005391,-->,T006749,0.755473795342406,+
T005391,-->,T104950,0.71034310751766,+
T005391,-->,T114499,0.823800054276073,+
T005961,-->,T007721,0.25933295514668,+
T005963,-->,T001938,0.320999673689086,+
T005963,-->,T005961,0.543875199122717,+
T005963,-->,T101418,-0.298606864546684,-
T005963,-->,T140760,0.305964753097642,+
T005963,-->,T170367,0.413884770009901,+
T006145,-->,T002526,0.795574264010121,+
T006145,-->,T027239,0.789999055007113,+
T006145,-->,T047618,0.783857418683581,+
T006145,-->,T051623,0.810704255597209,+
T006749,-->,T027301,-0.416337196976476,-
T006749,-->,T043528,0.694654885197783,+
T007573,-->,T020697,0.569291516611161,+
T007573,-->,T068972,0.388818780001861,+
T007573,-->,T149807,0.521992384074864,+
